Time,Settle,Surcharge
0,0,1.6
3,11.4,1.6
7,24.1,1.6
9,34.3,1.6
14,42.7,1.6
16,51.4,1.6
21,61.1,1.6
23,71.2,1.6
28,87.2,2.8
30,95.7,3
35,108.4,3.3
38,113.3,3.3
42,122.7,3.3
44,126.2,3.3
48,133.5,3.3
51,138.5,3.3
55,146.6,3.3
58,152.4,3.3
62,160.1,3.3
66,164.8,3.3
69,170.1,3.3
73,175.8,3.3
76,180.4,3.3
79,184,3.3
83,188.6,3.3
86,193.5,3.3
90,197.6,3.3
93,201,3.3
99,209,3.3
100,210.3,3.3
104,214.5,3.3
107,217.4,3.3
111,223.2,3.3
114,226.5,3.3
118,231.3,3.3
121,232.8,3.3
125,238.1,3.3
128,240.5,3.3
133,245.3,3.3
136,247.8,3.3
139,251,3.3
142,252.3,3.3
146,257.1,3.3
150,260.3,3.3
153,263.1,3.3
156,263.4,3.3
160,269,3.3
163,269.8,3.3
167,271.7,3.3
170,273.7,3.3
174,276.8,3.3
177,278.3,3.3
181,279.7,3.3
184,281.9,3.3
188,282.7,3.3
191,284.5,3.3
195,286.4,3.3
199,289.3,3.3
202,292.7,3.3
205,294.3,3.3
209,295.6,3.3
212,297.5,3.3
216,300,3.3
219,301.7,3.3
224,304,3.3
226,305.1,3.3
231,305.3,3.3
234,305.7,3.3
238,306.6,3.3
241,307.4,3.3
245,308.1,3.3
248,309.3,3.3
252,311.8,3.3
255,314.8,3.3
259,316.8,3.3
262,319.3,3.3
266,320.4,3.3
269,321.3,3.3
273,321.8,3.3
276,323.1,3.3
280,324,3.3
283,324.7,3.3
287,325.3,3.3
290,326.1,3.3
294,326.7,3.3
297,327.7,3.3
302,329,3.3
309,329.5,3.3
316,330.1,3.3
323,331.5,3.3
330,333,3.3
395,365.4,3.3
402,368,3.3
429,373.2,3.3
434,373.5,3.3
436,373.7,3.3
441,374,3.3
444,374.2,3.3
448,374.6,3.3
451,374.8,3.3
455,375.1,3.3
462,375.2,3.3
470,375.4,3.3
484,380.3,3.3
490,380.4,3.3
497,380.5,3.3
503,380.5,3.3
511,381.6,3.3
517,381.8,3.3
525,382.1,3.3
531,382.3,3.3
538,382.6,3.3
545,383,3.3
552,383.2,3.3
559,383.7,3.3
569,383.8,3.3
576,384.4,3.3
583,385.1,3.3
589,385.4,3.3
596,385.8,3.3
603,387.2,3.3
610,388.4,3.3
619,391,4.3
626,392.6,4.3
630,392.6,4.3
637,393.1,4.3
644,395,4.3
653,396.9,4.3
661,398.9,4.3
667,400.2,4.3
673,401.6,4.3
681,404.5,4.3
688,407.1,4.3
694,409.2,4.3
709,411.2,4.3
715,413,4.3
723,413.4,4.3
730,413.9,4.3
736,417.3,4.3
742,417.9,4.3
750,417.7,4.3
757,419.1,4.3
764,420.2,4.3
771,422.1,4.3
778,423.9,4.3
785,424.6,4.3
792,425.4,4.3
797,425.9,4.3
805,426.2,4.3
812,426.5,4.3
819,427.8,4.3
825,428.6,4.3
841,429.1,4.3
848,430.2,4.3
854,431.2,4.3
862,431.6,4.3
868,432,4.3
875,431.5,4.3
883,431.5,4.3
890,431.5,4.3
897,431.5,4.3
904,431.5,4.3
911,431.5,4.3
