Time,Settle,Surcharge
0,0,1.887
3,41,1.887
6,61.5,1.887
10,73.1,1.887
13,81.6,1.887
17,86.9,1.887
20,91.9,1.887
23,96.7,1.887
26,101.6,1.887
30,107.7,2.94
33,113,2.94
37,119.4,2.94
40,122.8,2.94
44,128.4,2.94
47,131.9,2.94
52,139.5,2.94
54,140.5,2.94
59,148,2.94
62,151,2.94
65,153.8,2.94
68,156.6,2.94
72,160,2.94
75,162.5,2.94
79,166,2.94
83,169.1,2.94
86,172,2.94
89,174.7,2.94
94,180.3,2.94
96,182.1,2.94
100,185.5,2.94
103,188.4,2.94
110,195.8,2.94
114,198.7,2.94
118,201.1,2.94
122,205,2.94
125,206.9,2.94
128,209.3,2.94
131,211.8,2.94
135,214.2,2.94
138,216.2,2.94
143,217.4,2.94
146,218.3,2.94
150,219.1,2.94
153,219.9,2.94
156,220.9,2.94
159,222,2.94
164,227.7,2.94
167,230.7,2.94
171,234.8,3.48
173,236.5,3.48
177,239.7,3.48
180,241.8,3.48
184,243.9,3.48
187,246.3,3.48
191,249.6,3.48
194,252.1,3.48
198,255.5,3.48
201,258.9,3.48
205,261.2,3.48
208,263.4,3.48
212,265.8,3.48
215,267.1,3.48
219,268.9,3.48
222,270.2,3.48
227,273.4,3.48
229,275,3.48
234,277.3,3.48
237,278.1,3.48
241,280,3.48
244,281.2,3.48
248,283.2,3.48
251,284.6,3.48
254,286.1,3.48
257,287.5,3.48
262,289.5,3.48
265,290.7,3.48
268,292,3.48
271,293.2,3.48
275,294.7,3.48
278,295.3,3.48
282,296.3,3.48
285,296.7,3.48
289,297.6,3.48
292,298.5,3.48
296,299.8,3.48
299,300.6,3.48
303,302.2,3.48
306,303.5,3.48
310,312.8,5.608
313,318.1,5.608
317,322.8,6.794
320,328.9,6.794
324,335.3,6.794
328,340.5,6.794
331,342.9,6.794
334,345.5,6.794
339,348,6.794
342,350.6,6.794
345,353.1,6.794
348,355.6,6.794
352,358.9,6.794
355,361,6.794
362,365.6,6.794
367,369,6.794
370,370.5,6.794
373,372.2,6.794
376,373.8,6.794
381,376.4,6.794
384,378.5,6.794
387,380.4,6.794
390,382.4,6.794
394,385.8,6.794
397,388,6.794
402,389.9,6.794
405,390.9,6.794
409,392.6,6.794
412,394,6.794
415,396.7,6.794
418,397.5,6.794
422,398.7,6.794
425,399.1,6.794
429,399.8,6.794
432,400.9,6.794
436,403.6,6.794
439,405.6,6.794
443,408.2,6.794
446,409.4,6.794
